GEO;GEO_OBJECT;OBS_STATUS;lcog_geo;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_soc;ind_inc;log;ind_0_17;ind_65p
CRS3035RES200mN3128600E3784200;C200M;A;59183;47;23;2;7;0;22;2;1154131.8;2225;0;23;0;0;23;5;15
CRS3035RES200mN3128800E3784400;C200M;A;59183;121;57;6;18;3;53;8;2724400.2;5449;0;57;0;0;57;16;49
CRS3035RES200mN3128400E3784000;C200M;A;59183;55;19;4;4;3;15;3;1159767.2;1673;0;19;3;1;19;18;2
CRS3035RES200mN3128800E3784200;C200M;A;59183;238;106;31;34;7;58;14;4740547;9078;46;60;46;0;106;40;57
CRS3035RES200mN3128800E3784000;C200M;I;59183;18.5;8.7;0.7;3.6;0;5.8;0.7;379145.4;740;0.7;8;2.2;0;8.7;3.9999999999999996;2.9
CRS3035RES200mN3128600E3784000;C200M;A;59183;99;39;2;7;2;36;6;2318579.5;3064;0;39;3;0;39;24;16
CRS3035RES200mN3128400E3783800;C200M;A;59183;292.5;162;59;92;8;62;11;5393367.9;9568;89;73;1;0;162;41.5;79
CRS3035RES200mN3128600E3783800;C200M;A;59183;223;97;16;24;3;57;8;4679025.3;8131;26;71;34;0;97;42;45
CRS3035RES200mN3129000E3784200;C200M;A;59183;129.5;53;13;15;7;37;6;2379225.8;4681;0;53;12;0;53;26.5;23
CRS3035RES200mN3129000E3784000;C200M;A;59183;199;80;15;27;10;32;12;3871813.9;6426;32;48;31;0;80;63;14
CRS3035RES200mN3128800E3783800;C200M;A;59183;232;92;11;16;3;78;6;5313000.5;8635;2;90;3;0;92;40;56
CRS3035RES200mN3129200E3784000;C200M;I;59183;5;2.1;0.5;0.2;0;1.6;0.4;91525.4;166.4;0.3;1.8;0;0;2.1;1.1;0.7
CRS3035RES200mN3129200E3784600;C200M;A;59183;149;55;11;12;6;44;5;3121908.8;5129;0;55;0;0;55;43;19
CRS3035RES200mN3129000E3784400;C200M;A;59183;337.5;170;53;72;6;1;36;5931449.2;11455;162;8;156;0;170;72.5;52
CRS3035RES200mN3129200E3784400;C200M;A;59183;96;35;5;12;7;27;3;2050792.5;3200;0;35;5;0;35;27;15
CRS3035RES200mN3129200E3784200;C200M;A;59183;51.5;17;1;2;2;12;2;1082243.8;1583;0;17;2;0;17;11;1
CRS3035RES200mN3129400E3784400;C200M;A;59183;150;93;7;51;1;71;3;3177807.3;7454;93;0;0;0;93;11.5;73
CRS3035RES200mN3129600E3784400;C200M;A;59183;803.5;329;147;123;42;22;75;11644765.9;26466;302;27;300;2;329;261.5;93
CRS3035RES200mN3129600E3784200;C200M;A;59183;191.5;87;37;42;8;11;14;2862827.5;6922;76;11;76;7;87;52.5;28
CRS3035RES200mN3129400E3784000;C200M;A;59183;25;14;1;7;0;14;0;551000.1;1448;0;14;0;0;14;0;14
CRS3035RES200mN3129600E3784000;C200M;A;59183;149;66;5;14;2;61;3;3647186.8;6579;0;66;0;0;66;18;60
CRS3035RES200mN3129600E3783800;C200M;A;59183;190;88;15;22;4;63;11;3694073;7835;0;88;25;0;88;31.5;74
CRS3035RES200mN3129800E3783800;C200M;A;59183;181.5;72;7;23;8;65;8;3904580.6;5789;0;72;1;1;72;50.5;33
CRS3035RES200mN3130000E3785200;C200M;A;59183;382.5;153;24;41;12;105;21;7865802.9;13364;14;139;13;0;153;96.5;53
CRS3035RES200mN3130400E3785400;C200M;A;59183;96;45;18;19;3;0;8;1549376.1;3094;39;6;39;0;45;24;19
CRS3035RES200mN3130200E3785200;C200M;A;59183;285;139;17;56;6;100;16;5972572.9;11468;24;115;2;0;139;50;63
CRS3035RES200mN3130400E3785200;C200M;A;59183;372;197;37;109;10;85;13;7378330.7;13671;88;109;78;0;197;79;128
CRS3035RES200mN3130200E3785000;C200M;A;59183;283;121;19;45;12;100;9;6117806.5;10352;9;112;4;0;121;62;47
CRS3035RES200mN3130000E3785000;C200M;A;59183;269.5;101;15;25;6;74;10;5554760.4;9601;17;84;11;0;101;78.5;38
CRS3035RES200mN3130000E3784800;C200M;A;59183;233;109;16;38;3;52;11;5137966;9268;43;66;52;0;109;47;56
CRS3035RES200mN3129800E3784800;C200M;A;59183;95.5;38;6;13;6;28;3;2095914.5;3759;3;35;1;0;38;24.5;9
CRS3035RES200mN3130200E3784800;C200M;A;59183;242.5;90;6;18;8;78;10;5349963.9;8218;0;90;0;0;90;53.5;59
CRS3035RES200mN3129800E3784600;C200M;A;59183;242.5;127;29;55;5;59;25;4779555.8;9878;102;25;19;0;127;46.5;39
CRS3035RES200mN3130000E3784600;C200M;A;59183;762;448;256;288;18;0;69;10314540.5;23660;448;0;448;0;448;199;126
CRS3035RES200mN3130400E3785000;C200M;A;59183;284.5;114;15;31;7;93;12;6191917.7;9523;4;110;4;0;114;73;45
CRS3035RES200mN3130400E3784600;C200M;A;59183;62.5;30;8;9;2;27;2;1313312.5;2697;0;30;1;0;30;6.5;22
CRS3035RES200mN3130800E3785400;C200M;I;59183;3;1.4;0.4;0.4;0;1;0.1;65587;131.6;0.1;1.3;0;0;1.4000000000000001;0.2;0.1
CRS3035RES200mN3130600E3785200;C200M;A;59183;199;103;12;43;4;77;7;4207784;8365;39;64;4;0;103;25;47
CRS3035RES200mN3130800E3785200;C200M;I;59183;2;0.9;0.3;0.3;0;0.6;0.1;43724.6;87.7;0.1;0.8;0;0;0.8999999999999999;0.2;0.1
CRS3035RES200mN3130600E3785000;C200M;A;59183;220;96;6;27;7;91;4;5076820.6;8465;0;96;2;0;96;43;54
CRS3035RES200mN3130800E3785000;C200M;I;59183;20;9.3;2.9;2.9;0;6.4;0.7;437246.5;877.1;0.7;8.6;0;0;9.299999999999999;1.4;0.7
CRS3035RES200mN3130600E3784800;C200M;A;59183;283.5;120;18;28;5;100;13;5722577.5;10672;0;120;8;0;120;57.5;70
CRS3035RES200mN3130800E3784800;C200M;A;59183;182;69;6;10;7;60;3;3885905.4;6314;0;69;5;0;69;37;31
CRS3035RES200mN3131000E3784800;C200M;I;59183;13.5;5.2;0.6;1.2;0.9;1.5;0.6;265777.6;424.3;0;5.2;3.7;0;5.2;4.6;3.1
CRS3035RES200mN3129800E3784400;C200M;A;59183;380;192;28;93;14;126;25;7416743.9;14251;130;62;21;0;192;64;107
CRS3035RES200mN3130200E3784600;C200M;A;59183;308.5;164;90;92;6;7;26;4300802.5;9991;154;10;157;0;164;78.5;51
CRS3035RES200mN3130000E3784400;C200M;A;59183;51;19;3;6;3;15;1;849736.7;1470;0;19;2;0;19;11;14
CRS3035RES200mN3129800E3784200;C200M;A;59183;60.5;21;1;3;4;20;2;1178311.5;2143;1;20;0;0;21;10;15
CRS3035RES200mN3130200E3784400;C200M;A;59183;39;19;4;7;0;11;4;787029.2;1514;0;19;6;0;19;6;6
CRS3035RES200mN3130000E3784200;C200M;A;59183;55.5;23;3;4;3;14;2;1022504.5;1807;0;23;8;0;23;9.5;15
CRS3035RES200mN3130400E3784800;C200M;A;59183;210.5;97;6;34;5;88;5;4663910.8;8943;0;97;3;0;97;35.5;81
CRS3035RES200mN3130600E3784600;C200M;A;59183;188.5;64;12;10;10;22;7;3526984.2;5784;0;64;40;0;64;53.5;28
CRS3035RES200mN3130600E3784400;C200M;A;59183;143.5;55;9;11;9;15;8;2654748.4;4619;1;54;37;0;55;34.5;26
CRS3035RES200mN3130400E3784400;C200M;A;59183;62;35;10;15;0;3;9;1039668.3;2588;30;5;11;0;35;15;10
CRS3035RES200mN3129800E3784000;C200M;A;59183;244;94;12;22;8;83;5;5391054.7;9153;0;94;1;0;94;62.5;68
CRS3035RES200mN3130200E3784200;C200M;A;59183;253;104;31;27;10;28;13;4589682.5;7696;33;71;72;1;104;59;37
CRS3035RES200mN3130000E3784000;C200M;A;59183;97.5;32;7;9;10;3;3;1637131.9;2419;1;31;27;0;32;27.5;9
CRS3035RES200mN3130200E3784000;C200M;A;59183;124;48;9;15;4;35;5;2506394.1;3780;0;48;11;0;48;31;22
CRS3035RES200mN3130000E3783800;C200M;A;59183;442;207;100;85;15;4;49;6555045.1;13854;200;7;200;7;207;124.5;73
CRS3035RES200mN3130400E3784200;C200M;A;59183;28;18;4;11;0;3;0;599293.8;1168;11;7;15;0;18;1;10
CRS3035RES200mN3130400E3784000;C200M;A;59183;248.5;109;43;36;7;35;22;4157834.2;7143;66;43;73;0;109;71.5;27
CRS3035RES200mN3130800E3784600;C200M;A;59183;129;53;3;12;2;45;4;3197265.8;5139;0;53;6;0;53;18;28
